CIUDAD,DIRECCIONES,LAT,LON
Cartagena de Indias,Manzana 239 Lt 10 Sector Los Laures,,
Cartagena de Indias,13 De Junio,10.4029173,-75.4833235
Cartagena de Indias,13 De Junio Carrera. 64 No. 31A - 107,,
Cartagena de Indias,13 De Junio Urb. La India Manzana. L Lote 3,,
Cartagena de Indias,20 De Julio - Lemetre,,
Cartagena de Indias,20 De Julio La Poza,,
Cartagena de Indias,Amberes,10.4060316,-75.5151741
Cartagena de Indias,Barrio 16 De Enero,,
Cartagena de Indias,Barrio Antonio Jose De Sucre,,
Cartagena de Indias,Barrio Blaz De Lezo,,
Cartagena de Indias,Barrio El Espinal,,
Cartagena de Indias,Barrio El Milagro,,
Cartagena de Indias,Barrio El Paraguay,,
Cartagena de Indias,Barrio El Silencio   Calle De Las Palenqueras,,
Cartagena de Indias,Barrio El Silencio   Calle De Las Palenqueras   Callejon,,
Cartagena de Indias,Barrio El Silencio   Calle De Las Palenqueras   Callejon,,
Cartagena de Indias,Barrio El Silencio   Calle De Las Palenqueras   Callejon,,
Cartagena de Indias,Barrio El Silencio Calle Principal,,
Cartagena de Indias,Barrio El Silencio Invacion,,
Cartagena de Indias,Barrio La Campi̱a  Calle De Kevin Florez,,
Cartagena de Indias,Barrio La Esperanza,,
Cartagena de Indias,Barrio La Florida Calle La Babanera,,
Cartagena de Indias,Barrio La Sierrita,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nelson Mandela,,
Cartagena de Indias,Barrio Nueva Jerusalem Terraza El Chuzo,,
Cartagena de Indias,Barrio Quindio,,
Cartagena de Indias,Barrio Sucre Calle Principal,,
Cartagena de Indias,Blas De Lezo Manzana. 1 Lote 1 Etapa 3,,
Cartagena de Indias,Blas De Lezo Manzana. 1 Lote 12 Etapa 3,,
Cartagena de Indias,Calle El Guarapero Manzana 100 Lt 01,,
